Beach,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,TOTAL
BB Clarke,5,,,,,,3,1,2,2,1,6,20,34,7,,3,7,91
Bernies,5,,,,1,,,,2,1,,14,10,1,,,,,34
Brittingham,5,,,,,,,,1,,8,6,10,4,,1,2,,37
Esther,7,8,7,,2,,,2,,1,1,31,16,22,2,4,3,14,120
Goodland,,,,,,,,,,,,,,21,2,4,21,,48
Hudson,5,8,,,,15,13,,,31,16,22,7,13,,10,14,1,155
James Madison,7,9,,3,1,2,,1,6,8,2,7,14,26,2,6,7,1,102
Lake Mendota,,,,,,,,,,,,2,,,,9,14,1,26
Marshall,5,,1,1,,,,,,26,3,5,5,5,,3,6,,60
Olbrich,5,3,5,3,2,6,5,3,4,1,7,10,16,5,,5,4,1,85
Olin,9,4,3,16,,,1,1,10,26,1,5,9,18,44,3,5,9,164
Spring Harbor,17,5,1,,2,,8,6,8,16,4,5,10,11,3,8,2,2,108
Tenney Park,5,1,1,1,1,3,,,5,,,5,10,14,8,9,1,5,69
Vilas,8,12,17,2,22,1,1,39,1,,2,10,9,1,43,7,17,7,199
Warner Park,5,,,,,2,12,,3,1,8,12,20,18,4,3,2,,90