Beach,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,TOTAL
BB Clarke,5,,,,,,3,1,2,2,1,6,16,32,7,0,3,78
Bernies,5,,,,1,,,,2,1,,14,9,0,0,0,0,32
Brittingham,5,,,,,,,,1,,8,6,10,0,0,1,2,33
Esther,7,8,7,,2,,,2,,1,1,31,14,18,2,4,3,100
Hudson,5,8,,,,15,13,,,31,16,22,7,13,0,10,14,154
James Madison,7,9,,3,1,2,,1,6,8,2,7,13,32,2,6,6,105
Marshall,5,,1,1,,,,,,26,3,5,4,5,0,3,6,56
Olbrich,5,3,5,3,2,6,5,3,4,1,7,10,15,14,0,5,4,92
Olin,9,4,3,16,,,1,1,10,26,1,5,8,14,44,3,5,150
Spring Harbor,17,5,1,,2,,8,6,8,16,4,5,9,11,3,8,2,105
Tenney Park,5,1,1,1,1,3,,,5,,,5,11,13,8,9,1,64
Vilas,8,12,17,2,22,1,1,39,1,,2,10,9,1,43,7,17,192
Warner Park,5,,,,,2,12,,3,1,8,12,19,9,4,3,2,80
Goodland,,,,,,,,,,,,,,22,2,4,21,49
Lake Mendota,,,,,,,,,,,,2,,2,,9,14,27
TOTAL,88,50,35,26,31,29,43,53,42,113,50,140,144,186,115,72,100,1317